[4448322.298111] tg3 0000:03:00.0: eth0: 0x00000830: 0x00000000, 0xffffffff, 0xffffffff, 0xffffffff
[4448322.298114] tg3 0000:03:00.0: eth0: 0x00000840: 0xffffffff, 0xffffffff, 0xffffffff, 0xffffffff
[4448322.298367] tg3 0000:03:00.0: eth0: 0x00003620: 0x00110011, 0x00000000, 0x00000000, 0x00032080
[4448322.298369] tg3 0000:03:00.0: eth0: 0x00003630: 0x00000000, 0x83748374, 0x02c01000, 0x00000000
[4448322.298372] tg3 0000:03:00.0: eth0: 0x00003640: 0x00000000, 0x00000000, 0x00000020, 0x00000019
[4448322.298375] tg3 0000:03:00.0: eth0: 0x00003650: 0x00000171, 0x000f03ff, 0x05719001, 0x00000000
[4448322.298377] tg3 0000:03:00.0: eth0: 0x00003660: 0x00000000, 0x00000000, 0x02000000, 0x00000202
[4448322.298380] tg3 0000:03:00.0: eth0: 0x00003670: 0x00000000, 0xfeffffe3, 0x00000000, 0x00000000
[4448322.298383] tg3 0000:03:00.0: eth0: 0x00003680: 0x30018010, 0x00000000, 0x00000000, 0x00000000
[4448322.298385] tg3 0000:03:00.0: eth0: 0x000036a0: 0x000001a0, 0x00000000, 0x00000000, 0x00000000
[4448322.298388] tg3 0000:03:00.0: eth0: 0x000036b0: 0x00100308, 0x07ff07ff, 0x07ff07ff, 0x01000004
[4448322.298391] tg3 0000:03:00.0: eth0: 0x000036c0: 0xffffffff, 0x00000000, 0x00000000, 0x00350bc3
[4448322.298393] tg3 0000:03:00.0: eth0: 0x000036d0: 0x000001fd, 0x00000000, 0x00000000, 0x00004d62
[4448322.298396] tg3 0000:03:00.0: eth0: 0x000036f0: 0x00000000, 0x00000000, 0x00000000, 0x00012501
[4448322.298399] tg3 0000:03:00.0: eth0: 0x00003800: 0x00000001, 0x00000000, 0x0000000e, 0x0516028b
[4448322.298401] tg3 0000:03:00.0: eth0: 0x00003810: 0x000000e3, 0x00000082, 0x00000000, 0x00000000
[4448322.298404] tg3 0000:03:00.0: eth0: 0x00003c00: 0x00000302, 0x00000000, 0x00000000, 0x00000000
[4448322.298407] tg3 0000:03:00.0: eth0: 0x00003c30: 0x00000000, 0x00000000, 0x0000001f, 0xec28c000
[4448322.298409] tg3 0000:03:00.0: eth0: 0x00003c40: 0x00000000, 0x00000b00, 0x00000000, 0x00000000
[4448322.298412] tg3 0000:03:00.0: eth0: 0x00003c50: 0x00000000, 0x000007a2, 0x00000000, 0x00000000
[4448322.298414] tg3 0000:03:00.0: eth0: 0x00003c80: 0x0000074f, 0x00000e34, 0x00000989, 0x00000896
[4448322.298417] tg3 0000:03:00.0: eth0: 0x00003cc0: 0x00000140, 0x00000000, 0x00000000, 0x00000000
[4448322.298420] tg3 0000:03:00.0: eth0: 0x00003cd0: 0x00000000, 0x0000000f, 0x00000000, 0x00000000
[4448322.298422] tg3 0000:03:00.0: eth0: 0x00003d00: 0x0000001f, 0xf04cb000, 0x0000001f, 0xf04cc000
[4448322.298425] tg3 0000:03:00.0: eth0: 0x00003d10: 0x0000001f, 0xeb153000, 0x0000001f, 0xf0498000
[4448322.298428] tg3 0000:03:00.0: eth0: 0x00003d80: 0x00000014, 0x00000048, 0x00000005, 0x00000035
[4448322.298430] tg3 0000:03:00.0: eth0: 0x00003d90: 0x00000005, 0x00000005, 0x00000014, 0x00000048
[4448322.298433] tg3 0000:03:00.0: eth0: 0x00003da0: 0x00000005, 0x00000035, 0x00000005, 0x00000005
[4448322.298435] tg3 0000:03:00.0: eth0: 0x00003db0: 0x00000014, 0x00000048, 0x00000005, 0x00000035
[4448322.298438] tg3 0000:03:00.0: eth0: 0x00003dc0: 0x00000005, 0x00000005, 0x00000014, 0x00000048
[4448322.298441] tg3 0000:03:00.0: eth0: 0x00003dd0: 0x00000005, 0x00000035, 0x00000005, 0x00000005
[4448322.298444] tg3 0000:03:00.0: eth0: 0x00003f00: 0x00000000, 0x000001f4, 0x0000013c, 0x0000015f
[4448322.298446] tg3 0000:03:00.0: eth0: 0x00003fc0: 0x00870334, 0x00000000, 0x00000000, 0x00000000
[4448322.298449] tg3 0000:03:00.0: eth0: 0x00004000: 0x00000002, 0x00000000, 0x0010d0c0, 0x000aaf35
[4448322.298452] tg3 0000:03:00.0: eth0: 0x00004010: 0x00000000, 0x0029a012, 0x00000480, 0x0200e822
[4448322.298454] tg3 0000:03:00.0: eth0: 0x00004020: 0x00000000, 0x00000000, 0x00000010, 0x00000000
[4448322.298457] tg3 0000:03:00.0: eth0: 0x00004030: 0x00000010, 0x00808910, 0x00000000, 0x00000000
[4448322.298459] tg3 0000:03:00.0: eth0: 0x00004040: 0x00000000, 0x00000000, 0x0108e620, 0x00000000
[4448322.298462] tg3 0000:03:00.0: eth0: 0x00004050: 0x00000000, 0x00000000, 0x002be010, 0x00446002
[4448322.298465] tg3 0000:03:00.0: eth0: 0x00004060: 0x00452000, 0x00000000, 0x00000000, 0x00000000
[4448322.298468] tg3 0000:03:00.0: eth0: 0x00004400: 0x80000006, 0x00000000, 0x00010000, 0x0000a000
[4448322.298470] tg3 0000:03:00.0: eth0: 0x00004410: 0x00000000, 0x0000002a, 0x000000a0, 0x00000000
[4448322.298473] tg3 0000:03:00.0: eth0: 0x00004420: 0x0000003d, 0x00000000, 0x00000000, 0x00000000
[4448322.298476] tg3 0000:03:00.0: eth0: 0x00004440: 0x00000000, 0x00000000, 0x00000000, 0x04d1344f
[4448322.298478] tg3 0000:03:00.0: eth0: 0x00004450: 0x023a0423, 0x00bf009c, 0x00000000, 0x00000000
[4448322.298481] tg3 0000:03:00.0: eth0: 0x00004800: 0x180303fe, 0x00000000, 0x00000000, 0x00000120
[4448322.298484] tg3 0000:03:00.0: eth0: 0x00004810: 0x00000000, 0x0000000b, 0x05a89c70, 0x00000000
[4448322.298486] tg3 0000:03:00.0: eth0: 0x00004820: 0x00000052, 0x00000000, 0xf0310000, 0x651c8558
[4448322.298491] tg3 0000:03:00.0: eth0: 0x00004830: 0x00000000, 0x00000381, 0x00000381, 0x00000000
[4448322.298494] tg3 0000:03:00.0: eth0: 0x00004840: 0x2321bc18, 0x2321bc18, 0x000e2200, 0x5242771d
[4448322.298497] tg3 0000:03:00.0: eth0: 0x00004850: 0xe8b51b68, 0xd63c05ea, 0x46454645, 0x00000000
[4448322.298500] tg3 0000:03:00.0: eth0: 0x00004860: 0x00000052, 0x11265010, 0x00000800, 0x36000000
[4448322.298503] tg3 0000:03:00.0: eth0: 0x00004870: 0x00000080, 0x00000000, 0x00000000, 0x00000000
[4448322.298506] tg3 0000:03:00.0: eth0: 0x00004900: 0x00090404, 0x00305407, 0x00000000, 0x00000000
[4448322.298509] tg3 0000:03:00.0: eth0: 0x00004910: 0x000f001c, 0x00000000, 0x00000000, 0x00000000
[4448322.298512] tg3 0000:03:00.0: eth0: 0x00004a00: 0x180303fe, 0x00100000, 0x00100010, 0xb6470000
[4448322.298515] tg3 0000:03:00.0: eth0: 0x00004a10: 0xf0323f00, 0x008c5914, 0x00100011, 0x00000000
[4448322.298518] tg3 0000:03:00.0: eth0: 0x00004a20: 0x00000000, 0x00000010, 0xf02c0000, 0xf0323f40
[4448322.298521] tg3 0000:03:00.0: eth0: 0x00004a30: 0x00000000, 0x00000026, 0x00000026, 0x00000000
[4448322.298524] tg3 0000:03:00.0: eth0: 0x00004a40: 0xf0323ee0, 0xf0323ef0, 0xf0323f00, 0xf0323f10
[4448322.298527] tg3 0000:03:00.0: eth0: 0x00004a50: 0x00100010, 0x00100010, 0x00100010, 0x00100010
[4448322.298530] tg3 0000:03:00.0: eth0: 0x00004a70: 0x00090404, 0x00305407, 0x000f001c, 0x00000000
[4448322.298533] tg3 0000:03:00.0: eth0: 0x00004b00: 0x180303fe, 0x00360003, 0x30000000, 0x00360120
[4448322.298536] tg3 0000:03:00.0: eth0: 0x00004b10: 0x00360040, 0x00360003, 0x0036dc78, 0x00000010
[4448322.298540] tg3 0000:03:00.0: eth0: 0x00004b20: 0x0000004e, 0x02268000, 0x7e74ccd9, 0x0f360038
[4448322.298543] tg3 0000:03:00.0: eth0: 0x00004b30: 0x90a4ecd9, 0x0f360038, 0x1148a4d9, 0x0f360038
[4448322.298546] tg3 0000:03:00.0: eth0: 0x00004b40: 0x0d0cacd9, 0x0f360038, 0x0707b0b0, 0xbbbb7272
[4448322.298549] tg3 0000:03:00.0: eth0: 0x00004b50: 0xf0330000, 0x7e74cd10, 0xaf040000, 0x4e4d004d
[4448322.298552] tg3 0000:03:00.0: eth0: 0x00004b60: 0xf0330000, 0x90a4ed10, 0xaf040000, 0x400001f4
[4448322.298555] tg3 0000:03:00.0: eth0: 0x00004b70: 0xf0330000, 0x1148a510, 0xaf040000, 0x000000ff
[4448322.298558] tg3 0000:03:00.0: eth0: 0x00004b80: 0x0000004e, 0x11265010, 0x00000800, 0x36000000
[4448322.298561] tg3 0000:03:00.0: eth0: 0x00004b90: 0x00000080, 0x00090404, 0x00305407, 0x000f001c
[4448322.298564] tg3 0000:03:00.0: eth0: 0x00004ba0: 0x00f000b6, 0x00000000, 0x00000000, 0x00000000
[4448322.298567] tg3 0000:03:00.0: eth0: 0x00004bb0: 0x662864d9, 0x4e0a34d9, 0xaf8428d9, 0xfb1360d9
[4448322.298570] tg3 0000:03:00.0: eth0: 0x00004bc0: 0x7e74ccda, 0x90a4ecda, 0x1148a4da, 0x0d0cacda
[4448322.298573] tg3 0000:03:00.0: eth0: 0x00004bd0: 0x662864da, 0x4e0a34da, 0xaf8428da, 0xfb1360da
[4448322.298576] tg3 0000:03:00.0: eth0: 0x00004be0: 0x00360036, 0x00360036, 0x00360036, 0x00360036
[4448322.298579] tg3 0000:03:00.0: eth0: 0x00004bf0: 0xf0330000, 0x0d0cad10, 0xaf040000, 0x0000ffff
[4448322.298582] tg3 0000:03:00.0: eth0: 0x00004c00: 0x200003fe, 0x00000000, 0x00000000, 0x00000000
[4448322.298585] tg3 0000:03:00.0: eth0: 0x00004c10: 0x00000000, 0x00000000, 0x00000006, 0x00000000
[4448322.298588] tg3 0000:03:00.0: eth0: 0x00004c20: 0x00000000, 0x00000000, 0x00000000, 0x00000006
