#gluster volume status g_sftp1 clients
Client connections for volume g_sftp1
----------------------------------------------
Brick : gstorage-60-3.zue.alipay.com:/data/sftp1
Clients connected : 189
Hostname                                               BytesRead    BytesWritten
10.212.20.21:863                                            1460            1012
10.212.18.16:844                                            1460            1012
10.212.18.24:860                                            1460            1012
10.212.18.17:846                                            1460            1012
10.212.20.13:852                                            1460            1012
10.212.18.19:842                                            1460            1012
10.212.18.11:847                                            1460            1012
10.212.20.26:859                                            1460            1012
10.212.18.18:1018                                            844             436
10.212.18.12:849                                             844             436
10.212.18.20:872                                            1460            1012
10.212.20.12:859                                            1460            1012
10.212.20.13:842                                             844             436
10.212.20.29:856                                            1460            1012
10.212.18.21:849                                             844             436
10.212.18.12:833                                            1460            1012
10.212.18.27:861                                            1460            1012
10.212.18.13:852                                            1460            1012
10.212.20.16:861                                             844             436
10.212.20.26:836                                             844             436
10.212.20.17:862                                             844             436
10.212.18.17:835                                             844             436
10.212.18.30:858                                            1460            1012
10.212.18.11:829                                             844             436
10.212.20.11:835                                             844             436
10.212.18.20:871                                             844             436
10.212.18.25:834                                             844             436
10.212.20.11:1014                                           1460            1012
10.212.18.21:835                                            1460            1012
10.212.18.15:867                                            1460            1012
10.212.18.24:843                                             844             436
10.212.18.23:837                                            1460            1012
10.212.18.19:872                                             844             436
10.212.20.28:858                                            1460            1012
10.212.18.29:833                                             844             436
10.212.20.16:838                                            1460            1012
10.212.18.22:825                                             844             436
10.212.18.30:893                                             844             436
10.212.18.26:818                                             844             436
10.212.18.18:862                                            1460            1012
10.212.20.21:824                                             844             436
10.212.18.27:815                                             844             436
10.212.18.26:811                                      2898395589      2226074523
10.212.18.14:965                                             844             436
10.212.18.29:898                                            1460            1012
10.212.18.14:785                                            1460            1012
10.212.18.25:792                                            1460            1012
10.190.12.43:886                                             844             436
10.190.12.47:815                                             844             436
10.228.126.40:1011                                    2907169383      1892237207
10.190.12.43:819                                            1200             808
10.190.12.27:820                                             844             436
10.190.12.28:818                                             844             436
10.190.12.56:811                                             844             436
10.190.12.28:813                                            1200             808
10.190.12.54:793                                            1076             684
10.228.211.17:805                                           1076             684
10.190.12.26:812                                             844             436
10.190.12.38:805                                             844             436
